Name,Category 1,Nationality,Description,,
Luc Besson,Cinema/Humour,France,producteur et réalisateur,,
Manu Payet,Cinema/Humour,France,humoriste et acteur,,
Margot Robbie,Cinema/Humour,Other,actrice,,
Marilyn Monroe,Cinema/Humour,Other,"actrice, mannequin et chanteuse",,
Marion Cotillard,Cinema/Humour,France,actrice,,
Mark Ruffalo,Cinema/Humour,Other,acteur,,
Marlon Brando,Cinema/Humour,Other,acteur,,
Mathieu Kassovitz,Cinema/Humour,France,acteur et réalisateur,,
Matt Damon,Cinema/Humour,Other,acteur,,
Meryl Streep,Cinema/Humour,Other,actrice,,
Michaël Youn,Cinema/Humour,France,humoriste et acteur,,
Michel Blanc,Cinema/Humour,France,acteur,,
Millie Bobby Brown,Cinema/Humour,Other,actrice,,
Mimie Mathy,Cinema/Humour,France,actrice,,
Monica Bellucci,Cinema/Humour,France,actrice,,
Morgan Freeman,Cinema/Humour,Other,acteur,,
Muriel Robin,Cinema/Humour,France,humoriste et actrice,,
Natalie Portman,Cinema/Humour,Other,actrice,,
Nicole Kidman,Cinema/Humour,Other,actrice,,
Omar Sy,Cinema/Humour,France,humoriste et acteur,,
Patrick Sébastien,Cinema/Humour,France,animateur et imitateur,,
Pedro Pascal,Cinema/Humour,Other,acteur,,
Penélope Cruz,Cinema/Humour,Other,actrice,,
Penn Badgley,Cinema/Humour,Other,acteur,,
Peter Dinklage,Cinema/Humour,Other,acteur,,
Pierre Niney,Cinema/Humour,France,acteur et réalisateur,,
Pierre Palmade,Cinema/Humour,France,humoriste,,
Pio Marmaï,Cinema/Humour,France,acteur,,
Quentin Tarantino,Cinema/Humour,Other,réalisateur,,
Ramzy Bedia,Cinema/Humour,France,humoriste et acteur,,
Raphaël Quenard,Cinema/Humour,France,acteur,,
Ridley Scott,Cinema/Humour,Other,réalisateur,,
Robert De Niro,Cinema/Humour,Other,acteur,,
Robert Downey Jr.,Cinema/Humour,Other,acteur (Iron Man),,
Robert Pattinson,Cinema/Humour,Other,acteur (Twilight),,
Romain Duris,Cinema/Humour,France,acteur,,
Roman Frayssinet,Cinema/Humour,France,humoriste,,
Rupert Grint,Cinema/Humour,Other,acteur (Harry Potter),,
Russell Crowe,Cinema/Humour,Other,acteur,,
Ryan Gosling,Cinema/Humour,Other,acteur,,
Ryan Reynolds,Cinema/Humour,Other,acteur,,
Sadie Sink,Cinema/Humour,Other,actrice (Stranger Things),,
Sean Penn,Cinema/Humour,Other,acteur et réalisateur,,
Scarlett Johansson,Cinema/Humour,Other,actrice,,
Sophie Marceau,Cinema/Humour,France,actrice,,
Steve Carell,Cinema/Humour,Other,acteur ,,
